#Saved Data from the class pulsed_measurement_logic on 24.11.2022 at 15h42m40s.
#
#Parameters:
#===========
#
#Approx. measurement time (s): 6.1600484228134155e+02
#Measurement sweeps: -1
#Number of laser pulses: 400
#Laser ignore indices: []
#alternating: True
#analysis parameters: {'signal_start': 0.0, 'signal_end': 3.61e-07, 'method': 'sum'}
#extraction parameters: {'conv_std_dev': 20.0, 'flank_width': 0, 'method': 'conv_deriv'}
#fast counter settings: {'bin_width': 1e-09, 'record_length': 3.5e-06, 'number_of_gates': 400, 'is_gated': True}
#
#Data:
#=====
#Controlled variable(s)	Signal	Signal2
0.000000000000000e+00	8.462000000000000e+03	1.324400000000000e+04
2.000000000000000e-08	1.018800000000000e+04	1.094300000000000e+04
4.000000000000000e-08	1.190800000000000e+04	9.558000000000000e+03
6.000000000000001e-08	1.226600000000000e+04	8.912000000000000e+03
8.000000000000000e-08	1.146600000000000e+04	1.004400000000000e+04
1.000000000000000e-07	1.062600000000000e+04	1.090700000000000e+04
1.200000000000000e-07	1.007300000000000e+04	1.108900000000000e+04
1.400000000000000e-07	1.064400000000000e+04	1.074800000000000e+04
1.600000000000000e-07	1.046500000000000e+04	1.061200000000000e+04
1.800000000000000e-07	1.031600000000000e+04	1.111200000000000e+04
2.000000000000000e-07	9.928000000000000e+03	1.129600000000000e+04
2.200000000000000e-07	1.025200000000000e+04	1.109000000000000e+04
2.400000000000000e-07	1.108000000000000e+04	1.033500000000000e+04
2.600000000000000e-07	1.113700000000000e+04	1.023200000000000e+04
2.800000000000000e-07	1.096500000000000e+04	1.068200000000000e+04
3.000000000000000e-07	1.106800000000000e+04	1.068600000000000e+04
3.200000000000000e-07	1.088600000000000e+04	1.023900000000000e+04
3.400000000000000e-07	1.139400000000000e+04	9.787000000000000e+03
3.600000000000000e-07	1.104500000000000e+04	1.022000000000000e+04
3.800000000000000e-07	1.032700000000000e+04	1.089300000000000e+04
4.000000000000000e-07	9.059000000000000e+03	1.222600000000000e+04
4.200000000000000e-07	9.092000000000000e+03	1.210100000000000e+04
4.400000000000000e-07	1.035300000000000e+04	1.089900000000000e+04
4.600000000000000e-07	1.183600000000000e+04	9.725000000000000e+03
4.800000000000001e-07	1.240200000000000e+04	9.055000000000000e+03
5.000000000000000e-07	1.152900000000000e+04	9.963000000000000e+03
5.200000000000000e-07	1.062800000000000e+04	1.089600000000000e+04
5.400000000000000e-07	9.996000000000000e+03	1.153500000000000e+04
5.600000000000000e-07	9.979000000000000e+03	1.123500000000000e+04
5.800000000000001e-07	1.073300000000000e+04	1.087900000000000e+04
6.000000000000000e-07	1.069900000000000e+04	1.064000000000000e+04
6.200000000000000e-07	1.067500000000000e+04	1.103800000000000e+04
6.400000000000000e-07	1.068100000000000e+04	1.095300000000000e+04
6.600000000000000e-07	1.092700000000000e+04	1.061700000000000e+04
6.800000000000001e-07	1.073900000000000e+04	1.051300000000000e+04
7.000000000000000e-07	1.099900000000000e+04	1.064400000000000e+04
7.200000000000000e-07	1.079800000000000e+04	1.079800000000000e+04
7.400000000000000e-07	1.064600000000000e+04	1.061900000000000e+04
7.600000000000000e-07	1.086100000000000e+04	1.053700000000000e+04
7.800000000000000e-07	1.051200000000000e+04	1.061100000000000e+04
8.000000000000000e-07	1.057300000000000e+04	1.095600000000000e+04
8.200000000000000e-07	1.016800000000000e+04	1.102700000000000e+04
8.400000000000000e-07	1.038600000000000e+04	1.108400000000000e+04
8.600000000000000e-07	1.072900000000000e+04	1.072400000000000e+04
8.800000000000000e-07	1.135900000000000e+04	1.024300000000000e+04
9.000000000000001e-07	1.128200000000000e+04	9.922000000000000e+03
9.200000000000000e-07	1.081700000000000e+04	1.023500000000000e+04
9.400000000000000e-07	1.041800000000000e+04	1.088300000000000e+04
9.600000000000001e-07	1.044300000000000e+04	1.112400000000000e+04
9.799999999999999e-07	1.026500000000000e+04	1.075700000000000e+04
1.000000000000000e-06	1.065800000000000e+04	1.066500000000000e+04
1.020000000000000e-06	1.095500000000000e+04	1.047900000000000e+04
1.040000000000000e-06	1.059300000000000e+04	1.052700000000000e+04
1.060000000000000e-06	1.077000000000000e+04	1.063300000000000e+04
1.080000000000000e-06	1.095700000000000e+04	1.080800000000000e+04
1.100000000000000e-06	1.062300000000000e+04	1.064000000000000e+04
1.120000000000000e-06	1.078200000000000e+04	1.051400000000000e+04
1.140000000000000e-06	1.065000000000000e+04	1.053200000000000e+04
1.160000000000000e-06	1.062000000000000e+04	1.067300000000000e+04
1.180000000000000e-06	1.047000000000000e+04	1.102200000000000e+04
1.200000000000000e-06	1.075500000000000e+04	1.045700000000000e+04
1.220000000000000e-06	1.066800000000000e+04	1.075000000000000e+04
1.240000000000000e-06	1.081300000000000e+04	1.077800000000000e+04
1.260000000000000e-06	1.080800000000000e+04	1.068800000000000e+04
1.280000000000000e-06	1.039000000000000e+04	1.084800000000000e+04
1.300000000000000e-06	1.105100000000000e+04	1.050600000000000e+04
1.320000000000000e-06	1.079300000000000e+04	1.069300000000000e+04
1.340000000000000e-06	1.069000000000000e+04	1.079800000000000e+04
1.360000000000000e-06	1.077500000000000e+04	1.057100000000000e+04
1.380000000000000e-06	1.060900000000000e+04	1.091700000000000e+04
1.400000000000000e-06	1.077700000000000e+04	1.079500000000000e+04
1.420000000000000e-06	1.059100000000000e+04	1.072800000000000e+04
