#Saved Data from the class pulsed_measurement_logic on 09.02.2023 at 16h54m02s.
#
#Parameters:
#===========
#
#Approx. measurement time (s): 1.6268500709533691e+02
#Measurement sweeps: -1
#Number of laser pulses: 200
#Laser ignore indices: []
#alternating: False
#analysis parameters: {'signal_start': 0.0, 'signal_end': 3.3800000000000004e-07, 'method': 'sum'}
#extraction parameters: {'conv_std_dev': 20.0, 'flank_width': 0, 'method': 'conv_deriv'}
#fast counter settings: {'bin_width': 1e-09, 'record_length': 3.5e-06, 'number_of_gates': 200, 'is_gated': True}
#
#Data:
#=====
#Controlled variable(s)	Signal
1.000000000000000e-08	6.523000000000000e+03
2.000000000000000e-08	5.749000000000000e+03
3.000000000000000e-08	4.859000000000000e+03
4.000000000000000e-08	4.581000000000000e+03
5.000000000000000e-08	4.919000000000000e+03
5.999999999999999e-08	5.777000000000000e+03
7.000000000000000e-08	6.628000000000000e+03
8.000000000000000e-08	6.761000000000000e+03
9.000000000000000e-08	6.461000000000000e+03
1.000000000000000e-07	5.538000000000000e+03
1.100000000000000e-07	5.026000000000000e+03
1.200000000000000e-07	4.709000000000000e+03
1.300000000000000e-07	5.138000000000000e+03
1.400000000000000e-07	5.786000000000000e+03
1.500000000000000e-07	6.511000000000000e+03
1.600000000000000e-07	6.593000000000000e+03
1.700000000000000e-07	6.262000000000000e+03
1.800000000000000e-07	5.384000000000000e+03
1.900000000000000e-07	4.843000000000000e+03
2.000000000000000e-07	4.870000000000000e+03
2.100000000000000e-07	5.292000000000000e+03
2.200000000000000e-07	6.012000000000000e+03
2.300000000000000e-07	6.555000000000000e+03
2.400000000000000e-07	6.564000000000000e+03
2.500000000000000e-07	5.965000000000000e+03
2.600000000000000e-07	5.353000000000000e+03
2.700000000000000e-07	4.785000000000000e+03
2.800000000000000e-07	4.851000000000000e+03
2.900000000000000e-07	5.615000000000000e+03
3.000000000000000e-07	6.168000000000000e+03
3.100000000000000e-07	6.666000000000000e+03
3.200000000000000e-07	6.444000000000000e+03
3.300000000000000e-07	5.845000000000000e+03
3.400000000000000e-07	5.244000000000000e+03
3.500000000000000e-07	4.799000000000000e+03
3.600000000000000e-07	4.809000000000000e+03
3.700000000000000e-07	5.607000000000000e+03
3.800000000000000e-07	6.140000000000000e+03
3.900000000000000e-07	6.552000000000000e+03
4.000000000000000e-07	6.396000000000000e+03
4.100000000000000e-07	5.669000000000000e+03
4.200000000000000e-07	5.202000000000000e+03
4.300000000000000e-07	4.994000000000000e+03
4.400000000000000e-07	5.164000000000000e+03
4.500000000000000e-07	5.952000000000000e+03
4.600000000000000e-07	6.334000000000000e+03
4.700000000000000e-07	6.454000000000000e+03
4.800000000000000e-07	6.134000000000000e+03
