#Saved Data from the class pulsed_measurement_logic_clone on 10.02.2023 at 18h26m17s.
#
#Parameters:
#===========
#
#Approx. measurement time (s): 6.3086361312866211e+02
#Measurement sweeps: -1
#Number of laser pulses: 600
#Laser ignore indices: []
#alternating: False
#analysis parameters: {'signal_start': 0.0, 'signal_end': 3.7200000000000005e-07, 'method': 'sum'}
#extraction parameters: {'conv_std_dev': 20.0, 'flank_width': 0, 'method': 'conv_deriv'}
#fast counter settings: {'bin_width': 1e-09, 'record_length': 3.5e-06, 'number_of_gates': 600, 'is_gated': True}
#
#Data:
#=====
#Controlled variable(s)	Signal
1.000000000000000e-08	3.427000000000000e+03
2.000000000000000e-08	3.383000000000000e+03
3.000000000000000e-08	3.199000000000000e+03
4.000000000000000e-08	3.052000000000000e+03
5.000000000000000e-08	2.968000000000000e+03
5.999999999999999e-08	3.038000000000000e+03
7.000000000000000e-08	3.430000000000000e+03
8.000000000000000e-08	3.551000000000000e+03
9.000000000000000e-08	3.671000000000000e+03
1.000000000000000e-07	3.619000000000000e+03
1.100000000000000e-07	3.529000000000000e+03
1.200000000000000e-07	3.161000000000000e+03
1.300000000000000e-07	3.004000000000000e+03
1.400000000000000e-07	3.102000000000000e+03
1.500000000000000e-07	3.111000000000000e+03
1.600000000000000e-07	3.360000000000000e+03
1.700000000000000e-07	3.605000000000000e+03
1.800000000000000e-07	3.780000000000000e+03
1.900000000000000e-07	3.758000000000000e+03
2.000000000000000e-07	3.510000000000000e+03
2.100000000000000e-07	3.207000000000000e+03
2.200000000000000e-07	3.126000000000000e+03
2.300000000000000e-07	3.137000000000000e+03
2.400000000000000e-07	2.924000000000000e+03
2.500000000000000e-07	3.456000000000000e+03
2.600000000000000e-07	3.597000000000000e+03
2.700000000000000e-07	3.632000000000000e+03
2.800000000000000e-07	3.776000000000000e+03
2.900000000000000e-07	3.430000000000000e+03
3.000000000000000e-07	3.299000000000000e+03
3.100000000000000e-07	3.025000000000000e+03
3.200000000000000e-07	2.911000000000000e+03
3.300000000000000e-07	3.109000000000000e+03
3.400000000000000e-07	3.345000000000000e+03
3.500000000000000e-07	3.435000000000000e+03
3.600000000000000e-07	3.632000000000000e+03
3.700000000000000e-07	3.604000000000000e+03
3.800000000000000e-07	3.332000000000000e+03
3.900000000000000e-07	3.123000000000000e+03
4.000000000000000e-07	3.129000000000000e+03
4.100000000000000e-07	3.032000000000000e+03
4.200000000000000e-07	3.088000000000000e+03
4.300000000000000e-07	3.347000000000000e+03
4.400000000000000e-07	3.669000000000000e+03
4.500000000000000e-07	3.762000000000000e+03
4.600000000000000e-07	3.560000000000000e+03
4.700000000000000e-07	3.594000000000000e+03
4.800000000000000e-07	3.193000000000000e+03
4.900000000000001e-07	3.015000000000000e+03
5.000000000000000e-07	2.856000000000000e+03
5.100000000000000e-07	3.153000000000000e+03
5.200000000000000e-07	3.369000000000000e+03
5.300000000000000e-07	3.553000000000000e+03
5.400000000000000e-07	3.586000000000000e+03
5.500000000000000e-07	3.606000000000000e+03
5.600000000000000e-07	3.437000000000000e+03
5.700000000000000e-07	3.208000000000000e+03
5.800000000000001e-07	3.041000000000000e+03
5.900000000000001e-07	3.025000000000000e+03
6.000000000000000e-07	3.236000000000000e+03
6.100000000000000e-07	3.158000000000000e+03
6.200000000000000e-07	3.629000000000000e+03
6.300000000000000e-07	3.654000000000000e+03
6.400000000000000e-07	3.641000000000000e+03
6.500000000000000e-07	3.622000000000000e+03
6.600000000000000e-07	3.265000000000000e+03
6.700000000000000e-07	3.117000000000000e+03
6.800000000000001e-07	3.114000000000000e+03
6.900000000000001e-07	3.067000000000000e+03
7.000000000000001e-07	3.285000000000000e+03
7.100000000000000e-07	3.429000000000000e+03
7.200000000000000e-07	3.645000000000000e+03
7.300000000000000e-07	3.655000000000000e+03
7.400000000000000e-07	3.569000000000000e+03
7.500000000000000e-07	3.232000000000000e+03
7.600000000000000e-07	3.301000000000000e+03
7.700000000000000e-07	2.994000000000000e+03
7.800000000000000e-07	3.034000000000000e+03
7.900000000000001e-07	3.202000000000000e+03
8.000000000000001e-07	3.452000000000000e+03
8.100000000000000e-07	3.698000000000000e+03
8.200000000000000e-07	3.706000000000000e+03
8.300000000000000e-07	3.483000000000000e+03
8.400000000000000e-07	3.392000000000000e+03
8.500000000000000e-07	3.044000000000000e+03
8.600000000000000e-07	3.048000000000000e+03
8.700000000000000e-07	3.123000000000000e+03
8.800000000000000e-07	3.270000000000000e+03
8.900000000000001e-07	3.359000000000000e+03
9.000000000000001e-07	3.626000000000000e+03
9.100000000000001e-07	3.622000000000000e+03
9.200000000000000e-07	3.439000000000000e+03
9.300000000000000e-07	3.309000000000000e+03
9.400000000000000e-07	3.046000000000000e+03
9.500000000000000e-07	3.014000000000000e+03
9.599999999999999e-07	2.971000000000000e+03
9.700000000000000e-07	3.060000000000000e+03
9.799999999999999e-07	3.444000000000000e+03
9.899999999999998e-07	3.732000000000000e+03
1.000000000000000e-06	3.751000000000000e+03
1.010000000000000e-06	3.459000000000000e+03
1.020000000000000e-06	3.466000000000000e+03
1.030000000000000e-06	3.197000000000000e+03
1.040000000000000e-06	3.007000000000000e+03
1.050000000000000e-06	3.053000000000000e+03
1.060000000000000e-06	3.088000000000000e+03
1.070000000000000e-06	3.469000000000000e+03
1.080000000000000e-06	3.700000000000000e+03
1.090000000000000e-06	3.748000000000000e+03
1.100000000000000e-06	3.481000000000000e+03
1.110000000000000e-06	3.240000000000000e+03
1.120000000000000e-06	3.118000000000000e+03
1.130000000000000e-06	2.985000000000000e+03
1.140000000000000e-06	3.030000000000000e+03
1.150000000000000e-06	3.313000000000000e+03
1.160000000000000e-06	3.519000000000000e+03
1.170000000000000e-06	3.722000000000000e+03
1.180000000000000e-06	3.936000000000000e+03
1.190000000000000e-06	3.565000000000000e+03
1.200000000000000e-06	3.224000000000000e+03
1.210000000000000e-06	3.150000000000000e+03
1.220000000000000e-06	3.038000000000000e+03
1.230000000000000e-06	2.941000000000000e+03
1.240000000000000e-06	3.156000000000000e+03
1.250000000000000e-06	3.443000000000000e+03
1.260000000000000e-06	3.644000000000000e+03
1.270000000000000e-06	3.816000000000000e+03
1.280000000000000e-06	3.710000000000000e+03
1.290000000000000e-06	3.370000000000000e+03
1.300000000000000e-06	3.126000000000000e+03
1.310000000000000e-06	2.930000000000000e+03
1.320000000000000e-06	3.060000000000000e+03
1.330000000000000e-06	3.221000000000000e+03
1.340000000000000e-06	3.290000000000000e+03
1.350000000000000e-06	3.667000000000000e+03
1.360000000000000e-06	3.657000000000000e+03
1.370000000000000e-06	3.600000000000000e+03
1.380000000000000e-06	3.395000000000000e+03
1.390000000000000e-06	3.225000000000000e+03
1.400000000000000e-06	2.981000000000000e+03
1.410000000000000e-06	2.933000000000000e+03
1.420000000000000e-06	3.320000000000000e+03
1.430000000000000e-06	3.271000000000000e+03
1.440000000000000e-06	3.653000000000000e+03
1.450000000000000e-06	3.723000000000000e+03
1.460000000000000e-06	3.643000000000000e+03
1.470000000000000e-06	3.449000000000000e+03
1.480000000000000e-06	3.244000000000000e+03
1.490000000000000e-06	3.103000000000000e+03
1.500000000000000e-06	3.026000000000000e+03
1.510000000000000e-06	3.007000000000000e+03
